filename,category,category_idx,p_typicality,n_block,task,cond,cond_idx,block_total,ISI,tImageOn,Report,RT,target_resp,iso_spread,TrialCompleted,ImgDur,participant,mem_response,mem_perform
caique-morais-4ckTrPZzPgk-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,2.06018934352831,91.853857755661,1,0.547857284545898,1,0,1,0.5,pilot_21_10,,
img_60242.png,kitchens,4,7,1,oddball,old,1,1,1.29389934624308,94.2287695407867,0,1.79389834403992,0,0,1,0.5,pilot_21_10,,
brittani-burns-ZjnINvfPnig-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.39669542843962,96.0620346069336,1,0.747498273849487,1,0,1,0.5,pilot_21_10,,
img_01w8b.png,kitchens,4,8,1,oddball,old,1,1,1.38602223547498,98.7202706336975,0,1.88602542877197,0,0,1,0.5,pilot_21_10,,
brad-vVPotIGREhY-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.50366224965427,100.645199298859,1,0.668201684951782,1,0,1,0.5,pilot_21_10,,
img_nyv2b.png,kitchens,4,1,1,oddball,old,1,1,1.28936270817139,103.128441095352,0,1.78936195373535,0,0,1,0.5,pilot_21_10,,
bathroom-1940171_1920_resized.jpg,nontarget,2,0,1,oddball,old,1,1,2.82253094846893,104.953374385834,0,3.32253360748291,0,0,1,0.5,pilot_21_10,,
img_nzqfw.png,kitchens,4,10,1,oddball,old,1,1,2.70422682806924,108.319918632507,0,3.20422744750977,0,0,1,0.5,pilot_21_10,,
backbone-visuals-L4iRkKL5dng-unsplash_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.81884097087767,111.56146812439,0,2.31883978843689,0,0,1,0.5,pilot_21_10,,
img_1vukv.png,kitchens,4,7,1,oddball,old,1,1,1.52820387735542,113.91971540451,0,2.02820754051208,0,0,1,0.5,pilot_21_10,,
bathroom-6893077_1920_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.28274227887967,115.986307859421,0,1.78274416923523,0,0,1,0.5,pilot_21_10,,
img_t90e2.png,kitchens,4,9,1,oddball,old,1,1,1.47103853601809,117.81124162674,0,1.97104048728943,0,4,1,0.5,pilot_21_10,,
img_411xa.png,kitchens,4,2,1,oddball,old,1,1,1.89406616910699,119.827835798264,0,2.39406514167786,0,1,1,0.5,pilot_21_10,,
chuttersnap-6xB6mxsLTV0-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.51164327092007,122.261082172394,1,0.779772758483887,1,0,1,0.5,pilot_21_10,,
img_cv6mf.png,kitchens,4,4,1,oddball,old,1,1,1.30806320074193,124.869321584702,0,1.80806446075439,0,3,1,0.5,pilot_21_10,,
img_fcfjj.png,kitchens,4,7,1,oddball,old,1,1,1.14664136147284,126.719255685806,0,1.64664435386658,0,0,1,0.5,pilot_21_10,,
img_qwjcs.png,kitchens,4,7,1,oddball,old,1,1,2.71891547008122,128.410861730576,0,3.21891617774963,0,0,1,0.5,pilot_21_10,,
img_3m2h0.png,kitchens,4,10,1,oddball,old,1,1,1.44223570187922,131.669078350067,0,1.94223856925964,0,2,1,0.5,pilot_21_10,,
alexander-fife-6fWlqSqzWus-unsplash_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.83422806037878,133.644008874893,0,2.33422923088074,0,0,1,0.5,pilot_21_10,,
img_5ovr5.png,kitchens,4,8,1,oddball,old,1,1,1.19547149371831,136.018924713135,0,1.69547128677368,0,0,1,0.5,pilot_21_10,,
caique-morais-YVSR6ILS9wM-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.84894731801615,137.752196788788,1,0.848534107208252,1,0,1,0.5,pilot_21_10,,
img_ensho.png,kitchens,4,6,1,oddball,old,1,1,2.94477213649884,142.068710803986,0,3.44477510452271,0,0,1,0.5,pilot_21_10,,
annie-vo-H6JDMQ0ym8k-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.53027474712253,145.543588638306,1,0.576754331588745,1,0,1,0.5,pilot_21_10,,
img_9ann0.png,kitchens,4,9,1,oddball,old,1,1,1.60683085293214,148.251827955246,0,2.10683107376099,0,0,1,0.5,pilot_21_10,,
bruno-guerrero-hsLEinH0XrU-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,2.36857196142035,150.393418550491,1,0.646833419799805,1,0,1,0.5,pilot_21_10,,
img_3y35o.png,kitchens,4,10,1,oddball,old,1,1,1.1112328079696,152.676674842834,0,1.61123323440552,0,3,1,0.5,pilot_21_10,,
img_xti0z.png,kitchens,4,8,1,oddball,old,1,1,1.36677589955932,154.326770782471,0,1.86677718162537,0,2,1,0.5,pilot_21_10,,
bathroom-335748_1920_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.51096699064539,156.226881980896,0,2.01096796989441,0,0,1,0.5,pilot_21_10,,
img_xguy9.png,kitchens,4,7,1,oddball,old,1,1,1.75963085687737,158.276999950409,0,2.25963306427002,0,4,1,0.5,pilot_21_10,,
img_be0j0.png,kitchens,4,7,1,oddball,old,1,1,1.00070669199313,160.577132701874,0,1.5007061958313,0,2,1,0.5,pilot_21_10,,
alex-tyson-trSptCbWxAo-unsplash_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.1078353987241,162.110552787781,0,1.60783815383911,0,0,1,0.5,pilot_21_10,,
img_ay56d.png,kitchens,4,8,1,oddball,old,1,1,2.58434682500458,163.760647773743,0,3.08434629440308,0,0,1,0.5,pilot_21_10,,
adiptalk-3VoUDb-sVt4-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,2.07744653368751,166.877490758896,1,0.579698324203491,1,0,1,0.5,pilot_21_10,,
img_ikk62.png,kitchens,4,1,1,oddball,old,1,1,1.96352999194581,169.944329738617,0,2.46353220939636,0,3,1,0.5,pilot_21_10,,
img_7xzhf.png,kitchens,4,6,1,oddball,old,1,1,1.38674972691875,172.452802419662,0,1.88675355911255,0,2,1,0.5,pilot_21_10,,
bathroom-6893117_1920_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.75102136774206,174.377909421921,0,2.25102257728577,0,0,1,0.5,pilot_21_10,,
img_hkye1.png,kitchens,4,6,1,oddball,old,1,1,1.5077535963948,176.669702529907,0,2.00775551795959,0,0,1,0.5,pilot_21_10,,
bathroom-8260426_1920_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.5628869702406,178.711481809616,0,2.06288719177246,0,0,1,0.5,pilot_21_10,,
img_uhmld.png,kitchens,4,2,1,oddball,old,1,1,2.44815638054391,180.819929361343,0,2.94815969467163,0,0,1,0.5,pilot_21_10,,
alan-alves-yUtPwsEau8I-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.09239211856305,183.811758995056,1,0.662591934204102,1,0,1,0.5,pilot_21_10,,
img_lpj57.png,kitchens,4,6,1,oddball,old,1,1,1.64689974469118,186.645244598389,0,2.14690232276917,0,3,1,0.5,pilot_21_10,,
img_5yhe7.png,kitchens,4,10,1,oddball,old,1,1,2.14363208080498,188.845362901688,0,2.64363408088684,0,2,1,0.5,pilot_21_10,,
bathroom-3615667_1280_resized.jpg,nontarget,2,0,1,oddball,old,1,1,1.07366885983791,191.520504713058,0,1.57366824150085,0,0,1,0.5,pilot_21_10,,
img_anfk9.png,kitchens,4,7,1,oddball,old,1,1,1.37149643216364,193.137256383896,0,1.87149858474731,0,0,1,0.5,pilot_21_10,,
brad-2Vl1JZFmtOw-unsplash_resized.jpg,target,1,0,1,oddball,old,1,1,1.1750831477999,195.045690774918,1,0.549352169036865,1,0,1,0.5,pilot_21_10,,
img_k0ze7.png,kitchens,4,3,1,oddball,old,1,1,1.99668253124732,198.11251783371,0,2.49668216705322,0,0,1,0.5,pilot_21_10,,
